product_sku_code,customer,year,yearweek,nielsen_total_volume,promotion_indicator,top_brand,flavor_internal,pack_type_internal,pack_size_internal,units_per_package_internal,material_medium_description,price_per_item,price_per_litre,price_per_100ml,week,week_sin,week_cos,continuous_week
408320,L2_CRTG,2025,202504,7040,0,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.6554,0.8277,0.08277,4,0.464723172,0.885456026,107
283971,L2_CRTG,2025,202503,2275,1,COCA-COLA,COLA & CHERRY,PET,1750,1,1.75LNRP X6 CHERRY COKE,2.4959,1.426228571,0.142622857,3,0.354604887,0.935016243,106
207883,L2_MORRISONS,2025,202504,245,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.601,4.006666667,0.400666667,4,0.464723172,0.885456026,107
409690,L2_MORRISONS,2025,202504,2128,0,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,3.8052,1.441363636,0.144136364,4,0.464723172,0.885456026,107
414198,L2_CRTG,2025,202504,4972,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.9491,0.97455,0.097455,4,0.464723172,0.885456026,107
414198,L2_SAINSBURY'S,2025,202504,4144,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.7028,0.8514,0.08514,4,0.464723172,0.885456026,107
414198,L2_TESCO,2025,202505,10127,1,FANTA,ORANGE,PET,2000,1,2LNRP X6 FTA ORANGE,1.8515,0.92575,0.092575,5,0.568064747,0.822983866,108
409690,L2_SAINSBURY'S,2025,202503,3687,1,SPRITE ZERO / NO SUGAR / DIET / LIGHT,LEMON & LIME,CAN,330,8,330MLCAN 3X8P SPRITE NO SUGAR,3.6708,1.390454545,0.139045455,3,0.354604887,0.935016243,106
207883,L2_MORRISONS,2025,202502,225,1,APPLETISER,APPLE,CAN,150,1,150MLCAN X24 APPLETISER,0.6006,4.004,0.4004,2,0.239315664,0.970941817,105
408320,L2_MORRISONS,2025,202504,6353,0,SCHWEPPES,LEMON,PET,2000,1,2LNRP X6 SW LEMONADE,1.3499,0.67495,0.067495,4,0.464723172,0.885456026,107
407265,L2_TESCO,2025,202505,860,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.564,3.76,0.376,5,0.568064747,0.822983866,108
407265,L2_TESCO,2025,202502,776,1,COCA-COLA LIGHT / DIET COKE,COLA,CAN,150,1,150MLCAN X24 DIET COKE,0.5624,3.749333333,0.374933333,2,0.239315664,0.970941817,105
414197,L2_MORRISONS,2025,202533,4682,1,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.525,1.335227273,0.133522727,33,-0.748510748,-0.663122658,136
414197,L2_ASDA,2025,202507,4633,0,FANTA,ORANGE,CAN,330,8,330MLCAN 3X8P FANTA ORG,3.7356,1.415,0.1415,7,0.748510748,0.663122658,110
